latitude,longtitude,time
55.743206,38.015633,13170500
55.743202,38.015633,13171000
55.743202,38.015633,13171500
55.743202,38.015633,13172000
55.743202,38.015648,13172500
55.743202,38.015656,13173000
55.743206,38.015656,13173500
55.743210,38.015636,13174000
55.743214,38.015644,13174500
55.743217,38.015633,13175000
55.743221,38.015629,13175500
55.743225,38.015633,13180000
55.743225,38.015633,13180500
55.743225,38.015636,13181000
55.743225,38.015652,13181500
55.743229,38.015656,13182000
55.743229,38.015652,13182500
55.743225,38.015652,13183100
55.743221,38.015644,13183600
55.743225,38.015652,13184100
55.743229,38.015648,13184600
55.743233,38.015636,13185100
55.743259,38.015774,13185600
55.743267,38.016056,13190100
55.743252,38.016243,13190600
55.743259,38.016548,13191100
55.743267,38.016865,13191600
55.743271,38.017086,13192100
55.743282,38.017338,13192600
55.743286,38.017536,13193100
55.743286,38.017746,13193600
55.743271,38.017914,13194100
55.743214,38.018024,13194600
55.743141,38.018051,13195100
55.742950,38.018059,13195600
55.742775,38.018044,13200100
55.742611,38.017914,13200600
55.742508,38.017685,13201100
55.742393,38.017696,13201600
55.742310,38.017647,13202100
55.742218,38.017670,13202600
55.742058,38.017784,13203100
55.741844,38.017990,13203600
55.741638,38.018204,13204100
55.741409,38.018497,13204700
55.741261,38.018776,13205200
55.741074,38.018959,13205700
55.740936,38.019070,13210200
55.740807,38.019173,13210700
55.740635,38.019310,13211200
55.740463,38.019512,13211700
55.740345,38.019665,13212200
55.740284,38.019756,13212700
55.740250,38.019798,13213200
55.740196,38.019852,13213700
55.740082,38.019974,13214200
55.739895,38.020203,13214700
55.739689,38.020409,13215200
55.739536,38.020607,13215700
55.739372,38.020817,13220200
55.739174,38.021015,13220700
55.739021,38.021179,13221200
55.738804,38.021442,13221700
55.738617,38.021706,13222200
55.738464,38.021900,13222700
55.738445,38.022064,13223200
55.738529,38.022278,13223700
55.738586,38.022408,13224200
55.738586,38.022518,13224700
55.738571,38.022675,13225200
55.738625,38.022861,13225800
55.738689,38.023003,13230300
55.738770,38.023159,13230800
55.738861,38.023342,13231300
55.738930,38.023460,13231800
55.739025,38.023663,13232300
55.739090,38.023888,13232800
55.739197,38.024178,13233300
55.739277,38.024422,13233800
