latitude,longtitude,time
0.000000,0.000000,12241900
0.000000,0.000000,12242400
0.000000,0.000000,12242900
0.000000,0.000000,12243400
0.000000,0.000000,12243900
0.000000,0.000000,12244400
0.000000,0.000000,12244900
0.000000,0.000000,12245400
0.000000,0.000000,12245900
0.000000,0.000000,12250400
0.000000,0.000000,12250900
0.000000,0.000000,12251400
0.000000,0.000000,12251900
0.000000,0.000000,12252400
0.000000,0.000000,12252900
0.000000,0.000000,12253400
0.000000,0.000000,12253900
0.000000,0.000000,12254400
0.000000,0.000000,12254900
0.000000,0.000000,12255400
0.000000,0.000000,12255900
0.000000,0.000000,12260400
0.000000,0.000000,12260900
0.000000,0.000000,12261400
0.000000,0.000000,12261900
0.000000,0.000000,12262400
0.000000,0.000000,12262900
0.000000,0.000000,12263400
0.000000,0.000000,12263900
0.000000,0.000000,12264500
0.000000,0.000000,12265000
0.000000,0.000000,12265500
0.000000,0.000000,12270000
0.000000,0.000000,12270500
0.000000,0.000000,12271000
0.000000,0.000000,12271500
0.000000,0.000000,12272000
0.000000,0.000000,12272500
0.000000,0.000000,12273000
0.000000,0.000000,12273500
0.000000,0.000000,12274000
0.000000,0.000000,12274500
0.000000,0.000000,12275000
0.000000,0.000000,12275500
0.000000,0.000000,12280000
0.000000,0.000000,12280500
0.000000,0.000000,12281000
0.000000,0.000000,12281500
0.000000,0.000000,12282000
0.000000,0.000000,12282500
0.000000,0.000000,12283000
0.000000,0.000000,12283500
0.000000,0.000000,12284100
0.000000,0.000000,12284600
55.749912,38.013462,12285100
55.749901,38.013435,12285600
55.749840,38.013493,12290100
55.749828,38.013500,12290600
55.749702,38.013596,12291100
55.749634,38.013649,12291600
55.749634,38.013649,12292100
55.749634,38.013649,12292600
55.749634,38.013649,12293100
55.749634,38.013649,12293600
55.749634,38.013649,12294100
55.749634,38.013649,12294600
55.749634,38.013649,12295100
55.749634,38.013649,12295600
55.749634,38.013649,12300100
55.749477,38.013687,12300600
55.749477,38.013687,12301100
55.749477,38.013687,12301600
55.749477,38.013687,12302100
55.749477,38.013687,12302600
55.749477,38.013687,12303100
55.749477,38.013687,12303600
55.749477,38.013687,12304100
55.749477,38.013687,12304600
55.749477,38.013687,12305100
55.749432,38.013718,12305600
55.749393,38.013733,12310100
55.749352,38.013779,12310700
55.749283,38.013840,12311200
55.749233,38.013885,12311700
55.749229,38.013901,12312200
55.749191,38.013927,12312700
55.749111,38.013985,12313200
55.749119,38.013981,12313700
55.749142,38.013969,12314200
55.749138,38.013973,12314700
55.749130,38.013973,12315200
55.749115,38.013985,12315700
55.749123,38.013969,12320200
55.749119,38.013958,12320700
55.749107,38.013962,12321200
55.749123,38.013943,12321700
55.749157,38.013920,12322200
55.749130,38.013935,12322700
55.749149,38.013931,12323200
55.749149,38.013931,12323700
55.749149,38.013931,12324200
55.749214,38.013882,12324700
55.749302,38.013824,12325200
55.749294,38.013828,12325700
55.749294,38.013828,12330200
55.749474,38.013992,12330700
55.749474,38.013992,12331200
55.749474,38.013992,12331800
55.749474,38.013992,12332300
55.749474,38.013992,12332800
55.749474,38.013992,12333300
55.749451,38.013931,12333800
55.749405,38.013988,12334300
55.749355,38.014015,12334800
55.749348,38.014019,12335300
55.749313,38.013969,12335800
55.749287,38.013958,12340300
55.749218,38.013924,12340800
55.749168,38.013870,12341300
55.749180,38.013893,12341800
55.749226,38.013931,12342300
55.749302,38.013981,12342800
55.749340,38.014030,12343300
55.749386,38.014076,12343800
55.749397,38.014088,12344300
55.749405,38.014053,12344800
55.749424,38.014027,12345300
55.749435,38.014034,12345800
55.749420,38.014019,12350300
55.749428,38.013996,12350800
55.749401,38.013969,12351300
55.749367,38.013950,12351800
55.749344,38.013924,12352300
55.749313,38.013905,12352800
55.749298,38.013916,12353300
55.749294,38.013927,12353800
55.749260,38.013962,12354400
55.749268,38.013985,12354900
55.749249,38.014008,12355400
55.749191,38.014023,12355900
55.749172,38.014038,12360400
55.749176,38.014011,12360900
55.749165,38.014034,12361400
55.749161,38.014050,12361900
55.749138,38.014065,12362400
55.749130,38.014080,12362900
55.749134,38.014126,12363400
55.749191,38.014137,12363900
55.749195,38.014153,12364400
55.749184,38.014156,12364900
55.749119,38.014225,12365400
55.749107,38.014191,12365900
55.749077,38.014240,12370400
55.749077,38.014240,12370900
55.749050,38.014214,12371400
55.749088,38.014183,12371900
55.749096,38.014172,12372400
55.749104,38.014114,12372900
55.749092,38.014065,12373400
55.749081,38.014080,12373900
55.749084,38.014099,12374400
55.749092,38.014130,12374900
