latitude,longtitude,time
0.000000,0.000000,14020400
0.000000,0.000000,14020900
0.000000,0.000000,14021400
0.000000,0.000000,14021900
0.000000,0.000000,14022400
0.000000,0.000000,14022900
0.000000,0.000000,14023400
0.000000,0.000000,14023900
0.000000,0.000000,14024400
0.000000,0.000000,14024900
0.000000,0.000000,14025400
0.000000,0.000000,14025900
0.000000,0.000000,14030400
0.000000,0.000000,14030900
0.000000,0.000000,14031400
0.000000,0.000000,14031900
0.000000,0.000000,14032400
0.000000,0.000000,14032900
0.000000,0.000000,14033400
0.000000,0.000000,14033900
0.000000,0.000000,14034400
0.000000,0.000000,14034900
0.000000,0.000000,14035400
0.000000,0.000000,14035900
0.000000,0.000000,14040400
0.000000,0.000000,14041000
0.000000,0.000000,14041500
55.748371,38.013844,14042000
55.748356,38.013805,14042500
55.748299,38.013836,14043000
55.748264,38.013840,14043500
55.748291,38.013851,14044000
55.748295,38.013866,14044500
55.748299,38.013874,14045000
55.748325,38.013859,14045500
55.748383,38.013828,14050000
55.748402,38.013817,14050500
55.748413,38.013802,14051000
55.748428,38.013790,14051500
55.748440,38.013786,14052000
55.748451,38.013786,14052500
55.748463,38.013783,14053000
55.748466,38.013687,14053500
55.748486,38.013508,14054000
55.748463,38.013268,14054500
55.748482,38.013054,14055000
55.748566,38.012814,14055500
55.748425,38.012589,14060000
55.748405,38.012463,14060500
55.748386,38.012276,14061000
55.748383,38.012001,14061500
55.748379,38.011753,14062000
55.748386,38.011681,14062500
55.748375,38.011658,14063000
55.748360,38.011589,14063600
55.748333,38.011509,14064100
55.748257,38.011360,14064600
55.748230,38.011265,14065100
55.748215,38.011242,14065600
55.748199,38.011230,14070100
55.748196,38.011223,14070600
55.748196,38.011211,14071100
55.748199,38.011200,14071600
55.748196,38.011185,14072100
55.748196,38.011158,14072600
55.748177,38.010952,14073100
55.748158,38.010765,14073600
55.748131,38.010571,14074100
55.748112,38.010437,14074600
55.748081,38.010368,14075100
55.748043,38.010216,14075600
55.747971,38.009911,14080100
55.747944,38.009724,14080600
55.747929,38.009579,14081100
55.747902,38.009525,14081600
55.747875,38.009480,14082100
55.747852,38.009449,14082600
55.747829,38.009430,14083100
55.747818,38.009403,14083600
55.747803,38.009380,14084100
55.747787,38.009365,14084600
55.747768,38.009281,14085200
55.747753,38.009106,14085700
55.747776,38.008930,14090200
55.747856,38.008778,14090700
55.747952,38.008797,14091200
55.748047,38.008747,14091700
55.748055,38.008732,14092200
55.748051,38.008728,14092700
55.748047,38.008724,14093200
55.748043,38.008720,14093700
55.748039,38.008713,14094200
